@ref(networkElement)|@const(IpagTunnel)class
10.144.0.211/chgil301mp1_chgil311ia2_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil311ia2_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil311ia2_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil311ia2_P_2_5_1_PRIORITY|chgil311ia2|orafl301ia2
10.144.0.212/chgil302mp2_chgil302vr1_P_2_5_1_PRIORITY|10.144.0.212/chgil302mp2_chgil302vr1_P_2_5_1_PRIORITY|10.144.0.212/chgil302mp2_chgil302vr1_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil302vr1_P_2_5_1_PRIORITY|chgil302vr1|ormfl303vr1
10.144.0.214/chgil304mp2_chgil301mp1_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil301mp1_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil301mp1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil301mp1_P_2_15_2_DEFAULT|chgil301mp1|ormfl301mp1
192.168.43.18/tunnel_te50003|192.168.43.18/tunnel_te50003|192.168.43.18/tunnel_te50003|||OEW-VPLS|||P|ORMFL302VR1|JUNIPER MX960|VR1||||tunnel_te50003|te50003|chgil304vr1
10.144.0.122/PE9_PE15_P_2_15_2_DEFAULT|10.144.0.122/PE9_PE15_P_2_15_2_DEFAULT|10.144.0.122/PE9_PE15_P_2_15_2_DEFAULT|||IPAG|||P|SNJSCA021IW|MX480|JUNIPER MX SERIES|SNACA301IA1||snaca301ia1|PE9_PE15_P_2_15_2_DEFAULT|PE15|snbca301ia2
10.144.0.123/PE10_PE15_P_2_5_1_PRIORITY|10.144.0.123/PE10_PE15_P_2_5_1_PRIORITY|10.144.0.123/PE10_PE15_P_2_5_1_PRIORITY|||IPAG|||P|SNJSCA020IW|MX480|JUNIPER MX SERIES|SNACA302IA1||snaca302ia1|PE10_PE15_P_2_5_1_PRIORITY|PE15|snbca301ia2
10.144.0.62/PE6-2-chcrs1-primary|10.144.0.62/PE6-2-chcrs1-primary|10.144.0.62/PE6-2-chcrs1-primary|||OEW-VPLS|||P|CHGIL302VR1|JUNIPER MX960|VR1||||PE6-2-chcrs1-primary||ormfl01crs
135.16.241.28/PE6-2-PE32-primary|135.16.241.28/PE6-2-PE32-primary|135.16.241.28/PE6-2-PE32-primary|||OEW-VPLS|||P|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL303VR1||ormfl303vr1|PE6-2-PE32-primary||chgil303vr1
192.168.119.32/PE32-2-PE40-primary|192.168.119.32/PE32-2-PE40-primary|192.168.119.32/PE32-2-PE40-primary|||OEW-VPLS|||P|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL305VR1||ormfl305vr1|PE32-2-PE40-primary||chgil304vr1
135.16.241.28/tunnel_te50000|135.16.241.28/tunnel_te50000|135.16.241.28/tunnel_te50000|||OEW-VPLS|||P|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL303VR1||ormfl303vr1|tunnel_te50000|te50000|ormfl01crs
10.144.0.65/PE1_PE24_B_2_1_1_BYPASS|10.144.0.65/PE1_PE24_B_2_1_1_BYPASS|10.144.0.65/PE1_PE24_B_2_1_1_BYPASS|||IPAG|||B|ORLDFLMA61W|MX960|JUNIPER MX SERIES|ORMFL301IA2||ormfl301ia2|PE1_PE24_B_2_1_1_BYPASS|PE24|orafl301ib2
10.144.0.65/chgil304ia2_chgil303vr1_P_2_15_2_DEFAULT|10.144.0.65/chgil304ia2_chgil303vr1_P_2_15_2_DEFAULT|10.144.0.65/chgil304ia2_chgil303vr1_P_2_15_2_DEFAULT|||IPAG|||P|ORLDFLMA61W|MX960|JUNIPER MX SERIES|ORMFL301IA2||ormfl301ia2|chgil304ia2_chgil303vr1_P_2_15_2_DEFAULT|chgil303vr1|chgil303vr1
10.144.0.212/chgil302mp2_chgil304mp2_P_2_5_1_PRIORITY|10.144.0.212/chgil302mp2_chgil304mp2_P_2_5_1_PRIORITY|10.144.0.212/chgil302mp2_chgil304mp2_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil304mp2_P_2_5_1_PRIORITY|chgil304mp2|orafl301mp2
10.144.0.147/PE28_PE24_B_2_1_1_BYPASS|10.144.0.147/PE28_PE24_B_2_1_1_BYPASS|10.144.0.147/PE28_PE24_B_2_1_1_BYPASS|||IPAG|||B|ORLDFLPH51W|MX480|JUNIPER MX SERIES|ORPFL301IA1||orpfl301ia1|PE28_PE24_B_2_1_1_BYPASS|PE24|orafl301ib2
192.168.119.40/chgil304vr1_chgil304mp2_B_2_1_1_BYPASS|192.168.119.40/chgil304vr1_chgil304mp2_B_2_1_1_BYPASS|192.168.119.40/chgil304vr1_chgil304mp2_B_2_1_1_BYPASS|||OEW-VPLS|||B|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL306VR1||ormfl306vr1|chgil304vr1_chgil304mp2_B_2_1_1_BYPASS|chgil304mp2|orafl301mp2
10.144.0.62/PE6-2-PE32-primary|10.144.0.62/PE6-2-PE32-primary|10.144.0.62/PE6-2-PE32-primary|||OEW-VPLS|||P|CHGIL302VR1|JUNIPER MX960|VR1||||PE6-2-PE32-primary||chgil303vr1
10.144.0.214/chgil304mp2_chgil301mp1_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil301mp1_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil301mp1_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil301mp1_P_2_5_1_PRIORITY|chgil301mp1|ormfl301mp1
10.144.0.211/chgil301mp1_chgil304mp2_B_2_1_1_BYPASS|10.144.0.211/chgil301mp1_chgil304mp2_B_2_1_1_BYPASS|10.144.0.211/chgil301mp1_chgil304mp2_B_2_1_1_BYPASS|||MPCIO|||B|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil304mp2_B_2_1_1_BYPASS|chgil304mp2|orafl301mp2
10.144.0.123/PE10_PE14_P_2_5_1_PRIORITY|10.144.0.123/PE10_PE14_P_2_5_1_PRIORITY|10.144.0.123/PE10_PE14_P_2_5_1_PRIORITY|||IPAG|||P|SNJSCA020IW|MX480|JUNIPER MX SERIES|SNACA302IA1||snaca302ia1|PE10_PE14_P_2_5_1_PRIORITY|PE14|sndca301ia2
192.168.43.18/PE6-2-chcrs1-primary|192.168.43.18/PE6-2-chcrs1-primary|192.168.43.18/PE6-2-chcrs1-primary|||OEW-VPLS|||P|ORMFL302VR1|JUNIPER MX960|VR1||||PE6-2-chcrs1-primary||ormfl01crs
10.144.0.212/chgil302mp2_chgil303vr1_B_2_1_1_BYPASS|10.144.0.212/chgil302mp2_chgil303vr1_B_2_1_1_BYPASS|10.144.0.212/chgil302mp2_chgil303vr1_B_2_1_1_BYPASS|||MPCIO|||B|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil303vr1_B_2_1_1_BYPASS|chgil303vr1|ormfl305vr1
10.144.0.214/chgil304mp2_chgil304vr1_B_2_1_1_BYPASS|10.144.0.214/chgil304mp2_chgil304vr1_B_2_1_1_BYPASS|10.144.0.214/chgil304mp2_chgil304vr1_B_2_1_1_BYPASS|||MPCIO|||B|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil304vr1_B_2_1_1_BYPASS|chgil304vr1|ormfl306vr1
10.144.0.112/PE14_PE22_P_2_15_2_DEFAULT|10.144.0.112/PE14_PE22_P_2_15_2_DEFAULT|10.144.0.112/PE14_PE22_P_2_15_2_DEFAULT|||IPAG|||P|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE22_P_2_15_2_DEFAULT|PE22|snaca306ia2
10.144.0.123/PE10_PE15_P_2_15_2_DEFAULT|10.144.0.123/PE10_PE15_P_2_15_2_DEFAULT|10.144.0.123/PE10_PE15_P_2_15_2_DEFAULT|||IPAG|||P|SNJSCA020IW|MX480|JUNIPER MX SERIES|SNACA302IA1||snaca302ia1|PE10_PE15_P_2_15_2_DEFAULT|PE15|snbca301ia2
10.144.0.211/chgil301mp1_chgil304mp2_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil304mp2_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil304mp2_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil304mp2_P_2_15_2_DEFAULT|chgil304mp2|orafl301mp2
10.144.0.113/PE15_PE14_P_2_15_2_DEFAULT|10.144.0.113/PE15_PE14_P_2_15_2_DEFAULT|10.144.0.113/PE15_PE14_P_2_15_2_DEFAULT|||IPAG|||P|SNJSCA1225W|MX960|JUNIPER MX SERIES|SNBCA301IA2||snbca301ia2|PE15_PE14_P_2_15_2_DEFAULT|PE14|sndca301ia2
10.144.0.214/chgil304mp2_chgil304vr1_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil304vr1_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil304vr1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil304vr1_P_2_15_2_DEFAULT|chgil304vr1|chgil304vr1
10.144.0.211/chgil301mp1_chgil311ia2_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil311ia2_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil311ia2_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil311ia2_P_2_15_2_DEFAULT|chgil311ia2|orafl301ia2
10.144.0.214/chgil304mp2_chgil302mp2_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil302mp2_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil302mp2_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil302mp2_P_2_5_1_PRIORITY|chgil302mp2|orpfl302mp2
10.144.0.115/PE17_PE22_B_2_1_1_BYPASS|10.144.0.115/PE17_PE22_B_2_1_1_BYPASS|10.144.0.115/PE17_PE22_B_2_1_1_BYPASS|||IPAG|||B|SNJSCA02L01|MX960|JUNIPER MX SERIES|SNACA301IB1||snaca301ib1|PE17_PE22_B_2_1_1_BYPASS|PE22|snaca306ia2
10.144.0.211/chgil301mp1_chgil314ia1_B_2_1_1_BYPASS|10.144.0.211/chgil301mp1_chgil314ia1_B_2_1_1_BYPASS|10.144.0.211/chgil301mp1_chgil314ia1_B_2_1_1_BYPASS|||MPCIO|||B|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil314ia1_B_2_1_1_BYPASS|chgil314ia1|snaca310ia1
10.144.0.113/PE15_PE10_B_2_1_1_BYPASS|10.144.0.113/PE15_PE10_B_2_1_1_BYPASS|10.144.0.113/PE15_PE10_B_2_1_1_BYPASS|||IPAG|||B|SNJSCA1225W|MX960|JUNIPER MX SERIES|SNBCA301IA2||snbca301ia2|PE15_PE10_B_2_1_1_BYPASS|PE10|snaca302ia1
10.144.0.113/PE15_PE9_P_2_5_1_PRIORITY|10.144.0.113/PE15_PE9_P_2_5_1_PRIORITY|10.144.0.113/PE15_PE9_P_2_5_1_PRIORITY|||IPAG|||P|SNJSCA1225W|MX960|JUNIPER MX SERIES|SNBCA301IA2||snbca301ia2|PE15_PE9_P_2_5_1_PRIORITY|PE9|snaca301ia1
10.144.0.62/tunnel_te50002|10.144.0.62/tunnel_te50002|10.144.0.62/tunnel_te50002|||OEW-VPLS|||P|CHGIL302VR1|JUNIPER MX960|VR1||||tunnel_te50002|te50002|chgil303vr1
10.144.0.212/chgil302mp2_chgil303vr1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil303vr1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil303vr1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil303vr1_P_2_15_2_DEFAULT|chgil303vr1|chgil303vr1
10.144.0.211/chgil301mp1_chgil302vr1_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil302vr1_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil302vr1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil302vr1_P_2_15_2_DEFAULT|chgil302vr1|ormfl303vr1
10.144.0.212/chgil302mp2_chgil301mp1_P_2_5_1_PRIORITY|10.144.0.212/chgil302mp2_chgil301mp1_P_2_5_1_PRIORITY|10.144.0.212/chgil302mp2_chgil301mp1_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil301mp1_P_2_5_1_PRIORITY|chgil301mp1|ormfl301mp1
10.144.0.112/PE14_PE22_B_2_1_1_BYPASS|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS|10.144.0.112/PE14_PE22_B_2_1_1_BYPASS|||IPAG|||B|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE22_B_2_1_1_BYPASS|PE22|snaca306ia2
10.144.0.212/chgil302mp2_chgil301mp1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil301mp1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil301mp1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil301mp1_P_2_15_2_DEFAULT|chgil301mp1|ormfl301mp1
10.144.0.122/PE9_PE14_P_2_15_2_DEFAULT|10.144.0.122/PE9_PE14_P_2_15_2_DEFAULT|10.144.0.122/PE9_PE14_P_2_15_2_DEFAULT|||IPAG|||P|SNJSCA021IW|MX480|JUNIPER MX SERIES|SNACA301IA1||snaca301ia1|PE9_PE14_P_2_15_2_DEFAULT|PE14|sndca301ia2
10.144.0.149/tunnel_te50005|10.144.0.149/tunnel_te50005|10.144.0.149/tunnel_te50005|||OEW-VPLS|||P|CHGIL303VR1|JUNIPER MX960|VR1||||tunnel_te50005|te50005|chgil304vr1
10.144.0.212/chgil302mp2_chgil302vr1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil302vr1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil302vr1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil302vr1_P_2_15_2_DEFAULT|chgil302vr1|ormfl303vr1
10.144.0.122/PE9_PE14_P_2_5_1_PRIORITY|10.144.0.122/PE9_PE14_P_2_5_1_PRIORITY|10.144.0.122/PE9_PE14_P_2_5_1_PRIORITY|||IPAG|||P|SNJSCA021IW|MX480|JUNIPER MX SERIES|SNACA301IA1||snaca301ia1|PE9_PE14_P_2_5_1_PRIORITY|PE14|sndca301ia2
10.144.0.214/chgil304mp2_chgil313ia2_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil313ia2_P_2_15_2_DEFAULT|10.144.0.214/chgil304mp2_chgil313ia2_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil313ia2_P_2_15_2_DEFAULT|chgil313ia2|snaca306ia2
192.168.43.18/tunnel_te50002|192.168.43.18/tunnel_te50002|192.168.43.18/tunnel_te50002|||OEW-VPLS|||P|ORMFL302VR1|JUNIPER MX960|VR1||||tunnel_te50002|te50002|chgil303vr1
10.144.0.112/PE14_PE22_P_2_5_1_PRIORITY|10.144.0.112/PE14_PE22_P_2_5_1_PRIORITY|10.144.0.112/PE14_PE22_P_2_5_1_PRIORITY|||IPAG|||P|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE22_P_2_5_1_PRIORITY|PE22|snaca306ia2
10.144.0.214/chgil304mp2_chgil302vr1_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil302vr1_P_2_5_1_PRIORITY|10.144.0.214/chgil304mp2_chgil302vr1_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLSA1UW|MX2010|JUNIPER MX SERIES|ORAFL301MP2||orafl301mp2|chgil304mp2_chgil302vr1_P_2_5_1_PRIORITY|chgil302vr1|ormfl303vr1
10.144.0.149/PE32-2-PE40-primary|10.144.0.149/PE32-2-PE40-primary|10.144.0.149/PE32-2-PE40-primary|||OEW-VPLS|||P|CHGIL303VR1|JUNIPER MX960|VR1||||PE32-2-PE40-primary||chgil304vr1
